"Freq [GHz]","dB(St(Patch_1_T1,Patch_1_T1)) []"
0.7,-6.79469528165257
0.705,-7.03619858549669
0.71,-7.28491235822876
0.715,-7.54114569134061
0.72,-7.80523198997269
0.725,-8.07753185603237
0.73,-8.35843636749312
0.735,-8.64837081934829
0.74,-8.9477990045363
0.745,-9.25722812883778
0.75,-9.57721447295152
0.755,-9.90836993853415
0.76,-10.2513696439907
0.765,-10.6069607715225
0.77,-10.9759729109411
0.775,-11.3593301998855
0.78,-11.7580656264156
0.785,-12.1733379406385
0.79,-12.606451718818
0.795,-13.0588812367801
0.8,-13.5322989364432
0.805,-14.0286093996143
0.81,-14.5499898506055
0.815,-15.0989382348193
0.82,-15.6783297382209
0.825,-16.2914819590032
0.83,-16.9422272703065
0.835,-17.6349870818663
0.84,-18.3748343280299
0.845,-19.167512511492
0.85,-20.0193411678886
0.855,-20.9368553744092
0.86,-21.9258514295541
0.865,-22.9891425713418
0.87,-24.1216000250952
0.875,-25.2998575965239
0.88,-26.4632844510242
0.885,-27.4879197145667
0.89,-28.1797548779976
0.895,-28.3482888612308
0.9,-27.9521696325739
0.905,-27.1385760357654
0.91,-26.1151217663468
0.915,-25.0359758508705
0.92,-23.9840218438295
0.925,-22.9946617648857
0.93,-22.0786337067653
0.935,-21.2354420364495
0.94,-20.4600629245663
0.945,-19.7460480389012
0.95,-19.0868816214894
0.955,-18.4765247793063
0.96,-17.9095913632999
0.965,-17.3813627990284
0.97,-16.8877377237885
0.975,-16.4251601343887
0.98,-15.9905453461579
0.985,-15.5812116657558
0.99,-15.1948204192748
0.995,-14.8293246263324
1,-14.4829256384116
1.005,-14.1540367316509
1.01,-13.841252607273
1.015,-13.5433238372368
1.02,-13.2591354182797
1.025,-12.9876887277105
1.03,-12.7280862937665
1.035,-12.4795188968334
1.04,-12.2412546047808
1.045,-12.012629417485
1.05,-11.7930392543572
1.055,-11.5819330665094
1.06,-11.3788068940151
1.065,-11.1831987202441
1.07,-10.9946840008581
1.075,-10.8128717659058
1.08,-10.6374012104638
1.085,-10.4679387031918
1.09,-10.3041751535891
1.095,-10.1458236881463
1.1,-9.99261759335497
